id,generation,evaluation_score,this_image_name,init_image_name,image_strings,seed,steps,prompt_length,cfg_scale,prompt
1,1,,generated_image_89.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.12,751,85,12,11.5,"['adventure', 'trees', 'flowers', 'relaxing', 'scenery', 'park', ""children's"", 'playground', 'equipment', 'vibrant', 'lush', 'slides']"
2,1,,generated_image_90.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.14,3137,51,11,9.1,"['laughter', 'breeze', 'picnic', 'lush', 'scenery', 'flowers', 'joyful', 'slides', 'friendly', 'vibrant', 'park']"
3,1,,generated_image_91.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.21,8231,56,11,6.1,"['picnic', 'vibrant', 'playground', 'safe', 'sunshine', 'lush', 'landscape', 'scenery', 'flowers', 'laughter', 'joyful']"
4,1,,generated_image_92.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.15,6811,95,10,8.4,"['enjoyment', 'slides', 'picnic', 'equipment', 'safe', 'swings', 'laughter', 'vibrant', 'scenery', 'landscape']"
5,1,,generated_image_93.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.14,4210,57,10,7.6,"['play', 'vibrant', 'lush', 'laughter', 'family', 'enjoyment', 'picnic', 'safe', 'nature', 'grass']"
6,1,,generated_image_94.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.35,1415,95,10,8.6,"['equipment', 'playground', 'joyful', 'landscape', 'family', 'enjoyment', ""children's"", 'picnic', 'vibrant', 'peaceful']"
7,1,,generated_image_95.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.36,4929,73,15,10.5,"['equipment', 'fun', 'green', 'vibrant', 'slides', 'swings', 'landscape', 'joyful', 'parents', 'safe', 'park', 'grass', 'lush', 'laughter', 'trees']"
8,1,,generated_image_96.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.12,1882,100,12,6.0,"['flowers', 'slides', 'adventure', 'park', 'friendly', 'fun', 'joyful', 'trees', 'relaxing', 'green', 'lush', 'picnic']"
id,generation,evaluation_score,this_image_name,init_image_name,image_strings,seed,steps,prompt_length,cfg_scale,prompt
1,1,100,generated_image_89.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.12,751,85,12,11.5,"['adventure', 'trees', 'flowers', 'relaxing', 'scenery', 'park', ""children's"", 'playground', 'equipment', 'vibrant', 'lush', 'slides']"2,1,100,generated_image_90.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.14,3137,51,11,9.1,"['laughter', 'breeze', 'picnic', 'lush', 'scenery', 'flowers', 'joyful', 'slides', 'friendly', 'vibrant', 'park']"3,1,100,generated_image_91.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.21,8231,56,11,6.1,"['picnic', 'vibrant', 'playground', 'safe', 'sunshine', 'lush', 'landscape', 'scenery', 'flowers', 'laughter', 'joyful']"4,1,0,generated_image_92.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.15,6811,95,10,8.4,"['enjoyment', 'slides', 'picnic', 'equipment', 'safe', 'swings', 'laughter', 'vibrant', 'scenery', 'landscape']"5,1,100,generated_image_93.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.14,4210,57,10,7.6,"['play', 'vibrant', 'lush', 'laughter', 'family', 'enjoyment', 'picnic', 'safe', 'nature', 'grass']"6,1,0,generated_image_94.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.35,1415,95,10,8.6,"['equipment', 'playground', 'joyful', 'landscape', 'family', 'enjoyment', ""children's"", 'picnic', 'vibrant', 'peaceful']"7,1,0,generated_image_95.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.36,4929,73,15,10.5,"['equipment', 'fun', 'green', 'vibrant', 'slides', 'swings', 'landscape', 'joyful', 'parents', 'safe', 'park', 'grass', 'lush', 'laughter', 'trees']"8,1,0,generated_image_96.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.12,1882,100,12,6.0,"['flowers', 'slides', 'adventure', 'park', 'friendly', 'fun', 'joyful', 'trees', 'relaxing', 'green', 'lush', 'picnic']"
